Federation	2007 CPU (kS12K) Pledge	2008 CPU (kS12K) Pledge	VOMoU	VOAdditional	Accounting Name	Site(s)	Updated 		
			lhcb	"alice,atlas,cms"		INFN-ROMA1-CMS	2/14/08
			lhcb	"alice,atlas,cms"		INFN-TORINO	10/5/07
"Japan, ICEPP, Tokyo"	1000	1000	atlas	"alice,cms,lhcb"	JP-Tokyo-ATLAS-T2	TOKYO-LCG2	
"Republic of Korea, KISTI, Daejeon"	50	100	alice	"atlas,cms,lhcb"	KR-KISTI-T2	KR-KISTI-GCRT-01	4/2/08
"Norway, UNINETT SIGMA Tier-2"		110	atlas	"alice,cms,lhcb"	NO-NORDGRID-T2	NO-NORGRID-T2	2/14/08
"Pakistan, Pakistan Tier-2 Federation"	410	795	cms	"alice,atlas,lhcb"	PK-CMS-T2	NCP-LCG2	
			cms	"alice,atlas,lhcb"		PAKGRID-LCG2	
"Poland, Polish Tier-2 Federation"	650	1250	"alice,atlas,cms,lhcb"		PL-TIER2-WLCG	AMD64.PSNC.PL	
			"alice,atlas,cms,lhcb"			CYFRONET-IA64	
			"alice,atlas,cms,lhcb"			CYFRONET-LCG2	
			"alice,atlas,cms,lhcb"			egee.man.poznan.pl	
			"alice,atlas,cms,lhcb"			WARSAW-EGEE	
			"alice,atlas,cms,lhcb"			PSNC	3/13/08
"Portugal, LIP Tier-2 Federation"	500	750	"atlas,cms"	"alice,lhcb"	PT-LIP-LCG-Tier2	LIP-Coimbra	
			"atlas,cms"	"alice,lhcb"		LIP-Lisbon	
"Romania, Romanian Tier-2 Federation"	735	1300	"alice,atlas,lhcb"	cms	RO-LCG	NIHAM	
			"alice,atlas,lhcb"	cms		RO-02-NIPNE	
			"alice,atlas,lhcb"	cms		RO-07-NIPNE	
			"alice,atlas,lhcb"	cms		RO-11-NIPNE	
"Russian Fed., Russian Data-Intensive GRID"	3000	3000	"alice,atlas,cms,lhcb"		RU-RDIG	RU-Protvino-IHEP 	
			"alice,atlas,cms,lhcb"			ITEP	
			"alice,atlas,cms,lhcb"			JINR-LCG2	
			"alice,atlas,cms,lhcb"			RRC-KI	
			"alice,atlas,cms,lhcb"			ru-Moscow-SINP-LCG2	10/26/07
			"alice,atlas,cms,lhcb"			ru-Moscow-FIAN-LCG2	10/26/07
			"alice,atlas,cms,lhcb"			ru-Moscow-MEPHI-LCG2	10/26/07
			"alice,atlas,cms,lhcb"			RU-Phys-SPbSU	
			"alice,atlas,cms,lhcb"			RU-Troitsk-INR-LCG2	
			"alice,atlas,cms,lhcb"			RU-SPbSU               	10/26/07
			"alice,atlas,cms,lhcb"			ru-PNPI 	2/14/08
"Slovenia, SiGNET"	200	300	atlas	"alice,cms,lhcb"	SI-SiGNET 	SiGNET	
"Spain, ATLAS Federation"	117	875	atlas	"alice,cms,lhcb"	ES-ATLAS-T2 	Ifae	
			atlas	"alice,cms,lhcb"		IFIC-LCG2	
			atlas	"alice,cms,lhcb"		UAM-LCG2	
"Spain, CMS Federation"	380	760	cms	"alice,atlas,lhcb"	ES-CMS-T2 	CIEMAT-LCG2	
			cms	"alice,atlas,lhcb"		IFCA-LCG2	
"Spain, LHCb Federation"	118	296	lhcb	"alice,atlas,cms"	ES-LHCb-T2 	UB-LCG2	
			lhcb	"alice,atlas,cms"		USC-LCG2	
"Sweden, SNIC Tier-2"	244	981	"alice,atlas"	"cms,lhcb"	SE-SNIC-T2	SE-SNIC-T2	2/14/08
"Switzerland, CHIPP"	200	680	"atlas,cms,lhcb"	alice	CH-CHIPP-CSCS 	CSCS-LCG2	8/16/07
"Taipei, Taiwan Analysis Facility Federation"	300	400	"atlas,cms"	"alice,lhcb"	TW-FTT-T2	TW-FTT	2/14/08
"Turkey, Turkish Tier-2 Federation"	250	850	"atlas,cms"	"alice,lhcb"	TR-Tier2-federation	TR-10-ULAKBIM	2/14/08
			"atlas,cms"	"alice,lhcb"		TR-03-METU	2/14/08
"UK, London Tier 2"	2500	1017	"atlas,cms,lhcb"	alice	UK-London-Tier2	UKI-LT2-Brunel	9/5/07
			"atlas,cms,lhcb"	alice		UKI-LT2-IC-HEP	
			"atlas,cms,lhcb"	alice		UKI-LT2-IC-LeSC	
			"atlas,cms,lhcb"	alice		UKI-LT2-QMUL	
			"atlas,cms,lhcb"	alice		UKI-LT2-RHUL	
			"atlas,cms,lhcb"	alice		UKI-LT2-UCL-CENTRAL	
			"atlas,cms,lhcb"	alice		UKI-LT2-UCL-HEP	
"UK, NorthGrid"	2600	725	"atlas,lhcb"	"alice,cms"	UK-NorthGrid 	UKI-NORTHGRID-LANCS-HEP	9/5/07
			"atlas,lhcb"	"alice,cms"		UKI-NORTHGRID-LIV-HEP	
			"atlas,lhcb"	"alice,cms"		UKI-NORTHGRID-MAN-HEP	
			"atlas,lhcb"	"alice,cms"		UKI-NORTHGRID-SHEF-HEP	
"UK, ScotGrid"	340	925	"atlas,lhcb"	"alice,cms"	UK-ScotGrid	UKI-SCOTGRID-DURHAM	9/5/07
			"atlas,lhcb"	"alice,cms"		ScotGRID-Edinburgh	
			"atlas,lhcb"	"alice,cms"		UKI-SCOTGRID-GLASGOW	
"UK, SouthGrid"	940	959	"alice,atlas,cms,lhcb"		UK-SouthGrid	EFDA-JET	9/5/07
			"alice,atlas,cms,lhcb"			UKI-SOUTHGRID-BHAM-HEP	
			"alice,atlas,cms,lhcb"			UKI-SOUTHGRID-BRIS-HEP	
			"alice,atlas,cms,lhcb"			UKI-SOUTHGRID-CAM-HEP	
